,country,continent,gender,deaths
0,Afghanistan,Asia,Girl,6.379999923706055
1,Albania,Europe,Girl,0.8600000381469727
2,Algeria,Africa,Girl,2.3299999237060547
3,Andorra,Europe,Girl,0.2799999952316284
4,Angola,Africa,Girl,7.75999984741211
5,Antigua and Barbuda,North America,Girl,0.6800000190734864
6,Argentina,South America,Girl,0.9699999809265136
7,Armenia,Asia,Girl,1.1899999618530277
8,Australia,Oceania,Girl,0.35
9,Austria,Europe,Girl,0.3299999952316284
10,Azerbaijan,Asia,Girl,2.2
11,Bahamas,North America,Girl,1.2699999809265137
12,Bahrain,Asia,Girl,0.7199999809265137
13,Bangladesh,Asia,Girl,3.4000000000000004
14,Barbados,North America,Girl,1.2399999618530275
15,Belarus,Europe,Girl,0.3400000095367432
16,Belgium,Europe,Girl,0.3599999904632568
17,Belize,North America,Girl,1.3100000381469727
18,Benin,Africa,Girl,8.890000152587891
19,Bhutan,Asia,Girl,2.9000000000000004
20,Bolivia,South America,Girl,2.7
21,Bosnia and Herzegovina,Europe,Girl,0.55
22,Botswana,Africa,Girl,4.479999923706055
23,Brazil,South America,Girl,1.4899999618530275
24,Brunei,Asia,Girl,0.9800000190734864
25,Bulgaria,Europe,Girl,0.7000000000000001
26,Burkina Faso,Africa,Girl,9.240000152587893
27,Burundi,Africa,Girl,5.909999847412109
28,Cambodia,Asia,Girl,2.6700000762939453
29,Cameroon,Africa,Girl,7.75999984741211
30,Canada,North America,Girl,0.4900000095367431
31,Cape Verde,Africa,Girl,1.6299999237060547
32,Central African Republic,Africa,Girl,11.15999984741211
33,Chad,Africa,Girl,11.76999969482422
34,Chile,South America,Girl,0.7000000000000001
35,China,Asia,Girl,0.9300000190734864
36,Colombia,South America,Girl,1.3300000190734864
37,Comoros,Africa,Girl,6.440000152587891
38,Costa Rica,North America,Girl,0.8199999809265137
39,Croatia,Europe,Girl,0.4400000095367432
40,Cuba,North America,Girl,0.5
41,Cyprus,Europe,Girl,0.2599999904632568
42,Denmark,Europe,Girl,0.3700000047683716
43,Djibouti,Africa,Girl,5.820000076293946
44,Dominica,North America,Girl,3.029999923706055
45,Dominican Republic,North America,Girl,3.189999961853028
46,Ecuador,South America,Girl,1.3100000381469727
47,Egypt,Africa,Girl,2.1
48,El Salvador,North America,Girl,1.3300000190734864
49,Equatorial Guinea,Africa,Girl,8.35
50,Eritrea,Africa,Girl,3.920000076293945
51,Estonia,Europe,Girl,0.25
52,Eswatini,Africa,Girl,5.05999984741211
53,Ethiopia,Africa,Girl,5.240000152587891
54,Fiji,Oceania,Girl,2.289999961853028
55,Finland,Europe,Girl,0.2200000047683716
56,France,Europe,Girl,0.3799999952316284
57,Gabon,Africa,Girl,4.25999984741211
58,Gambia,Africa,Girl,5.20999984741211
59,Georgia,Asia,Girl,0.9
60,Germany,Europe,Girl,0.3599999904632568
61,Ghana,Africa,Girl,4.7
62,Greece,Europe,Girl,0.4
63,Grenada,North America,Girl,1.5100000381469727
64,Guatemala,North America,Girl,2.439999961853028
65,Guinea,Africa,Girl,9.80999984741211
66,Guinea-Bissau,Africa,Girl,8.169999694824218
67,Guyana,South America,Girl,2.8000000000000003
68,Haiti,North America,Girl,6.2
69,Honduras,North America,Girl,1.65
70,Hungary,Europe,Girl,0.4300000190734863
71,Iceland,Europe,Girl,0.2
72,India,Asia,Girl,4.220000076293945
73,Indonesia,Asia,Girl,2.370000076293945
74,Iran,Asia,Girl,1.4199999809265138
75,Iraq,Asia,Girl,2.589999961853028
76,Ireland,Europe,Girl,0.3299999952316284
77,Israel,Asia,Girl,0.3599999904632568
78,Italy,Europe,Girl,0.3099999904632569
79,Jamaica,North America,Girl,1.3199999809265135
80,Japan,Asia,Girl,0.25
81,Jordan,Asia,Girl,1.5300000190734864
82,Kazakhstan,Asia,Girl,0.95
83,Kenya,Africa,Girl,4.30999984741211
84,Kiribati,Oceania,Girl,5.1099998474121096
85,Kuwait,Asia,Girl,0.7900000095367432
86,Kyrgyzstan,Asia,Girl,1.8700000762939453
87,Laos,Asia,Girl,4.629999923706055
88,Latvia,Europe,Girl,0.4300000190734863
89,Lebanon,Asia,Girl,0.7599999904632568
90,Lesotho,Africa,Girl,8.34000015258789
91,Liberia,Africa,Girl,7.969999694824219
