,country,label,continent,amount,mortality
2516,Sierra Leone,2000,Africa,15033,15033
2517,Sierra Leone,2001,Africa,2137,17170
2518,Sierra Leone,2002,Africa,-3026,14144
2519,Sierra Leone,2003,Africa,-2005,12139
2520,Sierra Leone,2004,Africa,2863,15002
2521,Sierra Leone,2005,Africa,-2172,12830
2522,Sierra Leone,2006,Africa,-2237,10593
2523,Sierra Leone,2007,Africa,1557,12150
2524,Sierra Leone,2008,Africa,1966,14116
2525,Sierra Leone,2009,Africa,-2788,11328
2526,Sierra Leone,2010,Africa,1636,12964
2527,Sierra Leone,2011,Africa,-2411,10553
2528,Sierra Leone,2012,Africa,-1817,8736
2529,Sierra Leone,2013,Africa,-1947,6789
2530,Sierra Leone,2014,Africa,3249,10038
2531,Sierra Leone,2015,Africa,2808,12846
2532,Sierra Leone,2016,Africa,0,12846
